Sentence,Sentiment,text_length,pred_label,confidence,pos_score,neg_score,neu_score,sentiment_score
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,32,positive,0.6744750142097473,0.6744750142097473,0.007304747123271227,0.31822025775909424,0.6671702670864761
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,11,negative,0.9678689241409302,0.015482128597795963,0.9678689241409302,0.0166489128023386,-0.9523867955431342
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,39,positive,0.9481975436210632,0.9481975436210632,0.026034723967313766,0.025767652317881584,0.9221628196537495
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,20,neutral,0.9479060173034668,0.02860744297504425,0.023486528545618057,0.9479060173034668,0.005120914429426193
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,23,neutral,0.9370194673538208,0.03663773834705353,0.026342779397964478,0.9370194673538208,0.01029495894908905
$SPY wouldn't be surprised to see a green close,positive,9,neutral,0.8176283836364746,0.15269826352596283,0.029673373326659203,0.8176283836364746,0.12302489019930363
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,8,positive,0.6736089587211609,0.6736089587211609,0.012824472971260548,0.3135665953159332,0.6607844857499003
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,34,negative,0.9474895000457764,0.025916671380400658,0.9474895000457764,0.026593711227178574,-0.9215728286653757
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,18,positive,0.9578080177307129,0.9578080177307129,0.016265807673335075,0.02592622861266136,0.9415422100573778
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,33,neutral,0.9203940033912659,0.06918378174304962,0.010422181338071823,0.9203940033912659,0.0587616004049778
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,17,positive,0.9540417790412903,0.9540417790412903,0.011991280131042004,0.03396691754460335,0.9420504989102483
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,18,negative,0.9274592399597168,0.011033151298761368,0.9274592399597168,0.061507582664489746,-0.9164260886609554
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,28,neutral,0.6386042237281799,0.3410722315311432,0.02032358944416046,0.6386042237281799,0.3207486420869827
Viking Line has canceled some services .,neutral,7,negative,0.9622148275375366,0.006708046421408653,0.9622148275375366,0.031077131628990173,-0.955506781116128
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,36,neutral,0.9333990812301636,0.05328798294067383,0.013312870636582375,0.9333990812301636,0.039975112304091454
$FB gone green on day,positive,5,positive,0.441646546125412,0.441646546125412,0.15944494307041168,0.3989085555076599,0.2822016030550003
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,15,positive,0.957358717918396,0.957358717918396,0.017890362069010735,0.0247508455067873,0.9394683558493853
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,27,neutral,0.837171196937561,0.150104820728302,0.01272401213645935,0.837171196937561,0.13738080859184265
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,15,neutral,0.9465648531913757,0.0241128858178854,0.029322298243641853,0.9465648531913757,-0.0052094124257564545
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,11,neutral,0.9493439197540283,0.034360043704509735,0.01629599556326866,0.9493439197540283,0.018064048141241074
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,24,neutral,0.8555627465248108,0.1344774216413498,0.00995978806167841,0.8555627465248108,0.12451763357967138
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,11,positive,0.6157156229019165,0.6157156229019165,0.023053614422678947,0.3612307906150818,0.5926620084792376
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,24,neutral,0.9423577785491943,0.03957455977797508,0.018067609518766403,0.9423577785491943,0.02150695025920868
